clean_teks,tweet_english,sentiment
bp tapera tegas serta tindaklanjut selesai mbappe wisnu ipk daging pagi,bp tapera was firm and the followup was completed mbappe vishnu ipk morning meat,negative
bayar tapera goblok,pay stupid tapera,negative
projo eitss tapera bayarin,project hey tapera pay,negative
tapera perintah tolol canang bank tanah faisal basri,tapera stupid order canang land bank faisal basri,negative
omel perkara tapera yakali pns tutup tapera kerja swasta,grumbling about the tapera case perhaps civil servants are closing private employment tapera,negative
cuti tapera contoh laku perintah suka kurang hak kerja,tapera leave example of behavior command like less work rights,positive
semangat pagi warga tapera semangat aktivitas,morning spirit tapera residents spirit of activity,positive
kasi banget orang indonesia gaji potong pajak bpjs kes bpjs tk tapera keluarga pas nikah,thank you very much for indonesians salary withholding bpjs tax bpjs case tk tapera family upon marriage,positive
benci banget tapera pajak gaji emosi tambah tapera gaji nyundut pakai roko deh bkin emosi kecuali duit duit,i really hate salary tax tapera im emotional adding salary tapera is covered using roko it makes me emotional except for money money,negative
menteri sayang warga tapera basuki ogah tinggal ikn,minister loves tapera residents basuki doesnt want to stay ikn,positive
kirain gara gara potong tapera,i thought it was because of cutting the tapera,negative
woee pagi kirim sms tagih tapera,wow morning send a text message to collect tapera,positive
karyawan judi online sana kena potong tapera,online gambling employees there were cut off by tapera,negative
fasilitas fasilitas jkwie ada produk bangst tapera omnibus law pajak beras mahal kreta cepat jktbandung produk hutang caina bandara bangkrut tambang keruk asing dollar rupiah puruk,jkwie facilities there are bangst products tapera omnibus law expensive rice tax fast crete jktbandung caina debt products airport bankrupt foreign dredged mines dollar rupiah bad,negative
woi naruh tagih tapera,hey put the tapera bill,negative
tapera gaji urus ikn,tapera salary administer ikn,negative
tepat tabung pakai akronim tapera alias tabung rumah rakyat opini kompas multimediamencerahkan,right tube using the acronym tapera alias peoples house tube opinion kompas multimediamencerahkan,negative
tepat tabung pakai akronim tapera alias tabung rumah rakyat opini kompas,right tube using the acronym tapera alias peoples housing tube kompas opinion,negative
batal tapera simpel,simple tapera cancellation,negative
hutang rakyat dalih tabung tapera bangkrut bangkrut bajitol ngomong antri investor eh nyata ehblum masuk tukang khayal babi,peoples debt the excuse of the tapera bankrupt bankrupt bajitol talking about queuing investors but its real but its not enter the imagination of a pig,negative
aplikasi tapera,tapera application,negative
sami mawon salah tangan perintah berantas judi online pokok senang banget main bansos muhadjir ikutaan pinjam tangan paduka ukt tapera ajar pakcm akalaan,sami mawon wrong hand order to eradicate online gambling principal really happy playing social assistance muhadjir join in lending your hand ukt tapera ajar pakcm akalaan,positive
fam beras bayar tapera,rice family pays tapera,negative
bagus manusiawi tinggal suruh bayar tapera,good humane just ask him to pay tapera,positive
bayar tapera pod,pay tapera pod,negative
tapera jalanbloon lo,tapera jalanbloon you,negative
tapera bodoh,stupid tapera,negative
malas judi kalah judi kasih banson kerja cari rejeki halal potong gaji nama tapera logika,lazy gambling losing gambling giving banson working looking for a halal fortune cutting salary name tapera logic,negative
