Kalimat,Label Asli,Prediksi SVM
omel perkara tapera yakali pns tutup tapera kerja swasta,positive,negative
semangat pagi warga tapera semangat aktivitas,positive,negative
woee pagi kirim sms tagih tapera,negative,positive
fam beras bayar tapera,positive,negative
nyengirlagi laba ikn mangkrak dana aneh aneh ukt taperaindonesia,positive,negative
potong tapera,positive,negative
tapera program tabung wujud rumah impi,positive,negative
tapera mending ide dipake perintah ngeruk duit rakyat adil,negative,positive
tapera buang buang energi anjir hitung debatin liat banget bobrok cooo mayoritas masyrakat tolak ambil pusing awkwkwkwk,positive,negative
masyarakat cari nafkah halal keluarga paksa setor negara bulan nama tapera masyarakat cari untung judi online bansos negara harus judi online,negative,positive
bank tujuh negara set bank bank bpjs bank tapera bank dana haji standart kelola dana umatgotong royong hehehehehe,positive,negative
program tapera bohong,negative,positive
anjing kena tapera monyet,positive,negative
potong gaji buruh tapera,positive,negative
i got coba sgd rekening dbs bank gimana masuk idr rekening bank mandiri efisien beda platform fiat,negative,positive
tingkat value tapera,positive,negative
buru daftarin tapera kik wkw,positive,negative
umur sehat bahagia kau dua nyicil tapera gimana langgeng bener tunggu adik mil,negative,positive
sungguh kepingin bijak aneh aneh realisasi blokir ruu tni polri siar realisasi judi online bansos tapera langsung jalan lihat tanggung pilih,positive,negative
tinggal naik pajak tapera nambal hutang,negative,positive
berita gin mah judi online ajaaa ngapain kerja kena tapera uang pakai bansos korban judi online judi online sadar korban bodoh,positive,negative
tapera tapera,positive,negative
pajak naik listrik bpjs tapera jalan lain,positive,negative
delay uu tapera lain kritik berisik kait solar platform gabisa perintah takut wkwkw,negative,positive
penyesuaiantermasuk sesuai tunjangn penandatangan biji masyarakat sudh biasa segla bentuk sesuai bijak segla batas umr harga sembako tarif pajak bpjs tapera biaya pendidikn rakyat hidup,negative,positive
serius ruu siar tapera ruu polri kasuskasus korupsi judi online pinjam online politik dinasti remeh anggap sepele,positive,negative
mending kredit rumah rendah bunga bunga opini tapera ki nek tuju e ben kerja podo due omah,positive,negative
bangkrut mah bangkrut goblok gila bule waras berfikir bangun ikn rencana investor goblok tapera ikninvestor karyawan negara,positive,negative
hilih samasama kena tapera ribut,positive,negative
pencitraantapera oh taperadasar rezim kera rakus kemaruk kuasa,positive,negative
kemarin heboh tapera muncul berita kayak gin,negative,positive
mulu gaji rakyat tapera ambil duit rakyat iknnewsantara mental emis susah hidupnlu,positive,negative
tapera tapera wkwkwk,negative,positive
tutup berita timah tapera investor ikn,positive,negative
tapera rakyat mampus,positive,negative
tapera gaje banget lamalama birokrasi,negative,positive
cerita dukung ganti terus bijak wiwi mari jogetin oke gas oke gas oke gas baznas kena tapera dipalakdan masyarakat miskin derita rampok harta wowo,positive,negative
